コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2024/03,160720000000,58860000000,52354000000,42176000000,30340000000,28975000000,4965.35,36.7,261604000000,8806000000,8856000000,5936000000,548.58,10.07,3.69
130A,2024/12,2248000000,2209000000,2209548000,-203393000,-,-,340.61,98.2,194643000,-212000000,-233000000,-236000000,-37.04,-,-
1332,2024/03,606384000000,257304000000,206745000000,154715000000,96680000000,109729000000,801.7,41.1,831375000000,29663000000,31963000000,23850000000,76.67,9.57,3.93
1333,2024/03,671801000000,245480000000,178870000000,123113000000,167509000000,98841000000,4112.64,30.8,1030674000000,26534000000,31106000000,20853000000,413.6,10.07,3.1
135A,2024/02,1449901000,997040000,997040000,409472000,-,21940000,98.62,68.8,1411008000,508156000,495677000,330161000,33.33,33.11,22.77
1375,2024/03,38260000000,11610000000,11446000000,17405000000,-,16857000000,286.91,29.9,47476000000,2811000000,-,1350000000,33.85,11.79,3.53
1376,2024/05,48682522000,24441871000,23104608000,20541739000,-,-,2163.02,50.2,61598847000,1478908000,1570474000,1177699000,103.28,4.82,2.42
1377,2024/05,192717000000,160533000000,139045000000,121965000000,2559000000,1077000000,3650.69,83.1,88677000000,10495000000,11124000000,16162000000,365.21,10.1,8.39
1379,2024/03,103505000000,54824000000,52397000000,44194000000,12084000000,15118000000,1728.15,53,79426000000,3180000000,4715000000,3525000000,111.18,6.43,3.41
137A,2024/05,792194000,662776000,662776000,218892000,-,-,227.09,83.7,1027747000,215045000,203233000,149975000,53.43,22.63,18.93
1380,2024/03,7050478000,2187079000,2136702000,874992000,1365928000,1858069000,523.57,31,7392457000,11754000,153574000,98290000,23.58,4.5,1.39
1381,2024/06,24451000000,20723000000,20230000000,19352000000,-,-,3690,84.8,25836000000,1570000000,1780000000,1239000000,220.63,5.98,5.07
1382,2024/06,1123842000,769645000,769645000,237997000,-,4016000,1010.45,68.5,2519019000,32703000,38094000,20012000,26.27,2.6,1.78
1383,2024/10,5677000000,2120000000,2060366000,762857000,600000000,1238325000,1293.88,36.4,7094000000,22000000,-16000000,39936000,25,1.93,0.7
1384,2024/03,17764000000,12318000000,12123000000,10314000000,-,1428000000,1456.21,69.3,18901000000,2245000000,2316000000,1656000000,195.77,13.44,9.32
138A,2024/11,2408000000,1247000000,1247319000,444215000,-,584905000,1257.38,51.8,2566000000,217000000,191000000,100000000,109.28,8.02,4.15
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79,2659008000,-8765000,38731000,107199000,8.24,4.26,3.37
1401,2024/05,4408320000,3472954000,3440775000,2861190000,-,-,471.97,78.8,4356628000,495022000,527537000,403885000,54.05,11.63,9.16
1407,2024/08,125897000000,33399000000,33090000000,36350000000,18612000000,56553000000,837.88,26.4,50390000000,10597000000,9956000000,6757000000,167.43,20.33,5.37
1414,2024/06,130141000000,104425000000,100330000000,73088000000,-,-,1981.14,79.2,85419000000,19666000000,20436000000,14321000000,273.72,13.89,11
1417,2024/03,519960000000,260088000000,239832000000,190849000000,75148000000,31003000000,2735.89,48.5,518384000000,17830000000,18690000000,12535000000,133.33,4.97,2.41
1418,2024/02,8135330000,3637505000,3652032000,832709000,450000000,867308000,234.45,44.7,12626084000,270543000,245793000,384892000,24.82,10.58,4.73
1419,2024/05,89587000000,38327000000,38398000000,31259000000,5963000000,1966000000,1321.09,42.7,247733000000,12586000000,12877000000,8752000000,301.91,22.85,9.77
141A,2024/06,283627000000,118187000000,114443000000,71952000000,-,12195000000,948.63,40.8,717948000000,19161000000,19789000000,11439000000,109.76,9.89,4.03
1420,2024/03,46406595000,14905038000,14920739000,6395423000,4678000000,5821000000,1338.62,32.1,45860102000,952953000,935222000,648467000,58.31,4.35,1.4
1429,2024/12,24071000000,10545000000,10545343000,8357887000,4500000000,-,330.51,43.8,30265000000,2575000000,2604000000,1839000000,58.54,17.44,7.64
142A,2024/03,2179309000,486090000,486090000,-62209000,-,272851000,174.04,22.3,2082994000,272411000,253949000,141803000,65.23,29.17,6.51
1430,2024/05,23717601000,8468076000,8464766000,8037300000,1500000000,2154443000,708.48,35.7,28485091000,1453677000,1422240000,944916000,79.15,11.16,3.98
1431,2024/06,11741338000,4570600000,4570600000,2271032000,2446450000,1379309000,194.2,38.9,15435172000,495802000,598350000,387574000,17.22,8.48,3.3
1433,2024/01,10879242000,4095265000,4537426000,3091398000,2100000000,1540244000,461.31,37.6,9394828000,246906000,407626000,231122000,26.08,5.65,2.12
1434,2024/08,17734538000,6746621000,6558241000,4269395000,1595096000,3755930000,958.88,37.4,14804607000,1143651000,1213276000,1012359000,146.74,15.26,5.71
1435,2024/12,13233000000,9310000000,9298789000,2128305000,500040000,758659000,103.57,70.3,13157000000,1043000000,1018000000,912829000,10.16,9.81,6.9
1436,2024/04,12122962000,5033018000,5032810000,3277405000,354700000,3135884000,1234.79,41.5,9676010000,512204000,502829000,330434000,81.07,6.57,2.73
1438,2024/09,5294131000,3820625000,3766503000,3001421000,200000000,11652000,1178.13,72.2,5198677000,447218000,455947000,340464000,105.84,8.91,6.43
1439,2024/12,5502000000,2588000000,2515200000,1410496000,80000000,713625000,1486.1,45.7,8082000000,340000000,327000000,202000000,146.51,8.03,3.67
143A,2024/03,1999650000,1486639000,919599000,673135000,-,-,514.39,47.3,1280091000,200958000,188302000,126279000,78.6,13.34,6.32
1443,2024/03,17228542000,11064790000,10108762000,7515762000,-,3208025000,681.55,64.2,5169733000,529227000,640070000,444221000,27.36,4.01,2.58
1444,2024/07,2767380000,1501120000,1507334000,908365000,600000000,130618000,1379.9,54.2,4678961000,56392000,63465000,25154000,23.12,1.68,0.91
1446,2024/09,6134261000,2799618000,2792252000,710503000,500000000,370000000,303.42,45.6,13224257000,359202000,350393000,137956000,14.96,4.93,2.25
1447,2024/03,18051775000,3120698000,3019849000,-1881601000,6922409000,2305286000,118.42,16,29270215000,713762000,767760000,183138000,7.59,6.33,1.01
1449,2024/12,735000000,261000000,261326000,175478000,80000000,197924000,122.69,35.6,1113000000,-64000000,-61000000,-7000000,-3.29,-,-
1450,2024/03,9119386000,6990170000,6908649000,6363024000,-,-,803.57,76.7,10676415000,1608193000,1640213000,1090232000,125.33,15.6,11.96
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6,10062575000,574626000,532281000,355661000,89.17,5.56,2.37
145A,2024/12,2708000000,1709000000,1709021000,-924382000,60000000,435074000,333.48,63.1,1594000000,47000000,18000000,13000000,2.66,0.76,0.48
146A,2024/12,52186000000,12101000000,12100000000,9045000000,2255000000,30515000000,3485.63,23.1,20981000000,3892000000,3519000000,2238000000,691.9,18.5,4.29
147A,2024/03,10917376000,8404441000,8039420000,502341000,-,-,190.76,75.5,7928778000,727336000,638408000,485565000,12.59,5.89,4.45
148A,2024/12,2430000000,777000000,776623000,130952000,200000000,181850000,406.41,32,2367000000,183000000,155000000,130000000,72.17,16.73,5.35
1491,2024/03,12135201000,7107645000,7107645000,940237000,1226000000,730438000,24.66,58.6,113758594000,363777000,251518000,218628000,0.76,3.08,1.8
149A,2024/12,1228000000,978000000,978011000,-103613000,90000000,-,309.07,79.6,1232000000,78000000,48000000,16000000,5.24,1.64,1.3
