"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2025-03-14","658.80","649.16","658.84","647.59","","1.40%"
"2025-03-13","649.72","655.99","659.58","648.62","","-0.24%"
"2025-03-12","651.31","642.88","656.38","642.81","","1.54%"
"2025-03-11","641.46","630.45","641.46","621.37","","0.39%"
"2025-03-10","638.98","634.12","640.06","629.74","","1.26%"
"2025-03-07","631.01","637.61","640.60","631.01","","-2.07%"
"2025-03-06","644.32","644.59","648.05","639.68","","0.83%"
"2025-03-05","639.00","645.22","646.44","634.77","","-1.15%"
"2025-03-04","646.46","652.73","653.01","637.95","","-1.80%"
"2025-03-03","658.30","660.24","663.52","657.25","","0.69%"
"2025-02-28","653.77","663.89","667.63","648.66","","-2.21%"
"2025-02-27","668.56","668.57","673.01","667.24","","-0.03%"
"2025-02-26","668.74","673.69","676.23","662.73","","-0.72%"
"2025-02-25","673.56","672.33","677.29","670.76","","-0.98%"
"2025-02-21","680.22","681.17","685.78","677.70","","-0.46%"
"2025-02-20","683.37","685.28","689.12","682.19","","-0.26%"
"2025-02-19","685.12","687.63","689.70","683.34","","-0.28%"
"2025-02-18","687.04","682.90","691.04","682.69","","0.82%"
"2025-02-17","681.46","678.32","690.25","677.86","","0.65%"
"2025-02-14","677.06","688.43","688.58","675.82","","-1.51%"
"2025-02-13","687.45","693.92","693.92","682.81","","-0.75%"
"2025-02-12","692.66","685.56","693.22","682.74","","1.38%"
"2025-02-10","683.23","671.54","684.38","671.04","","1.65%"
"2025-02-07","672.12","669.06","674.78","668.77","","0.30%"
"2025-02-06","670.13","655.72","670.19","655.72","","2.33%"
"2025-02-05","654.88","649.23","654.88","648.79","","1.09%"
"2025-02-04","647.80","646.50","651.34","645.18","","0.88%"
"2025-02-03","642.15","644.52","646.42","639.38","","-1.31%"
"2025-01-31","650.67","651.83","651.83","647.03","","-0.30%"
"2025-01-30","652.60","654.79","657.00","651.11","","-0.52%"
"2025-01-29","655.99","649.47","659.10","649.41","0.00K","1.28%"
"2025-01-28","647.71","636.15","647.71","635.56","0.00K","1.38%"
"2025-01-27","638.90","643.30","645.89","638.64","0.00K","-0.28%"
"2025-01-24","640.72","625.97","641.95","625.67","0.00K","2.56%"
"2025-01-23","624.73","629.93","629.93","622.22","0.00K","-0.92%"
"2025-01-22","630.56","630.91","634.03","626.54","0.00K","0.42%"
"2025-01-21","627.92","631.58","631.71","624.65","0.00K","-0.53%"
"2025-01-20","631.26","628.25","633.62","626.88","0.00K","0.86%"
"2025-01-17","625.85","626.34","626.34","619.11","0.00K","-0.64%"
"2025-01-16","629.86","636.46","638.18","628.63","0.00K","-0.20%"
"2025-01-15","631.11","638.52","640.40","629.96","0.00K","-0.91%"
"2025-01-14","636.92","641.63","643.18","633.91","0.00K","-1.21%"
"2025-01-10","644.72","640.93","645.63","639.97","0.00K","0.20%"
"2025-01-09","643.42","640.17","644.71","638.25","0.00K","-0.04%"
"2025-01-08","643.67","637.45","644.51","636.42","0.00K","0.43%"
"2025-01-07","640.94","638.97","640.94","637.02","0.00K","0.98%"
"2025-01-06","634.71","646.46","648.71","634.43","0.00K","-1.47%"
"2024-12-30","644.18","644.77","650.41","643.60","0.00K","-0.10%"
"2024-12-27","644.82","637.38","649.11","636.97","0.00K","2.00%"
"2024-12-26","632.16","634.02","636.50","629.51","0.00K","0.11%"
"2024-12-25","631.46","632.23","637.18","628.70","0.00K","0.21%"
"2024-12-24","630.12","629.94","630.90","625.59","0.00K","-0.01%"
"2024-12-23","630.16","628.31","633.07","627.92","0.00K","0.84%"
"2024-12-20","624.89","631.20","633.58","624.65","0.00K","-0.94%"
"2024-12-19","630.85","626.66","631.80","626.12","0.00K","-0.79%"
"2024-12-18","635.85","633.81","641.88","632.66","0.00K","0.06%"
"2024-12-17","635.44","638.17","638.38","632.94","0.00K","-0.44%"
"2024-12-16","638.27","643.45","643.49","636.84","0.00K","-1.01%"
"2024-12-13","644.81","646.99","648.46","643.12","0.00K","0.49%"
"2024-12-12","641.64","643.87","647.36","641.53","0.00K","0.48%"
"2024-12-11","638.58","640.36","641.27","635.95","0.00K","-0.30%"
"2024-12-10","640.47","641.62","641.91","638.88","0.00K","-0.36%"
"2024-12-09","642.81","637.85","644.49","637.01","0.00K","1.38%"
"2024-12-06","634.03","636.32","636.85","631.01","0.00K","-0.73%"
"2024-12-05","638.72","639.71","643.35","637.51","0.00K","0.10%"
"2024-12-04","638.08","644.84","644.84","636.74","0.00K","-1.34%"
"2024-12-03","646.75","643.88","647.25","642.84","0.00K","0.78%"
"2024-12-02","641.72","645.08","645.20","639.34","0.00K","-0.35%"
"2024-11-29","643.97","634.64","645.08","632.26","0.00K","1.51%"
"2024-11-28","634.38","633.62","638.46","632.19","0.00K","0.06%"
"2024-11-27","633.97","636.05","636.05","628.97","0.00K","-0.24%"
"2024-11-26","635.47","639.65","639.65","632.04","0.00K","-0.42%"
"2024-11-25","638.18","640.15","642.51","636.81","0.00K","0.53%"
"2024-11-22","634.81","638.34","639.85","632.80","0.00K","-0.13%"
"2024-11-21","635.64","635.29","639.13","632.31","0.00K","0.71%"
"2024-11-20","631.16","634.76","640.42","631.15","0.00K","-0.01%"
"2024-11-19","631.21","621.02","633.08","621.02","0.00K","1.93%"
"2024-11-18","619.26","622.71","624.48","617.87","0.00K","-1.07%"
"2024-11-15","625.95","624.85","628.09","619.31","","0.12%"
"2024-11-14","625.23","628.10","630.05","621.68","","-0.57%"
"2024-11-13","628.84","631.13","637.23","627.74","","-0.42%"
"2024-11-12","631.50","633.75","637.97","629.89","","0.02%"
"2024-11-11","631.38","625.93","631.38","625.11","","0.72%"
"2024-11-08","626.88","624.65","631.11","623.34","","0.66%"
"2024-11-07","622.74","625.23","630.47","619.82","","0.21%"
"2024-11-06","621.45","619.56","624.78","616.61","","0.54%"
"2024-11-05","618.13","622.74","623.20","614.80","","-0.30%"
"2024-11-01","619.96","622.09","624.05","619.45","","-1.64%"
"2024-10-31","630.28","625.86","630.76","623.04","","0.72%"
"2024-10-30","625.76","623.90","626.99","621.12","","0.52%"
"2024-10-29","622.54","610.68","623.10","610.47","","2.08%"
"2024-10-28","609.88","587.68","610.44","587.68","","3.49%"
"2024-10-25","589.30","598.50","599.60","587.56","","-1.68%"
"2024-10-24","599.35","598.47","601.17","593.48","","-0.78%"
"2024-10-23","604.09","614.22","614.44","603.31","","-1.76%"
"2024-10-22","614.90","629.01","629.01","614.20","","-2.69%"
"2024-10-21","631.91","623.23","633.84","621.97","","1.37%"
"2024-10-18","623.37","626.82","628.86","621.65","","-0.69%"
"2024-10-17","627.70","632.67","635.07","627.48","","-0.79%"
"2024-10-16","632.67","633.96","639.00","630.86","","-1.25%"
"2024-10-15","640.69","642.25","642.37","633.77","","0.39%"
"2024-10-11","638.19","639.89","642.56","638.19","","-0.27%"
"2024-10-10","639.94","647.39","648.71","639.09","","-1.13%"
"2024-10-09","647.24","644.60","651.06","643.85","","0.99%"
"2024-10-08","640.92","645.48","648.03","640.22","","-1.40%"
"2024-10-07","650.01","654.68","656.93","648.20","","0.43%"
"2024-10-04","647.20","649.16","655.87","646.28","","-0.48%"
"2024-10-03","650.33","654.09","654.24","645.78","","0.89%"
"2024-10-02","644.58","659.03","659.81","643.99","","-3.19%"
"2024-10-01","665.79","656.92","668.26","653.49","","2.02%"
"2024-09-30","652.63","663.51","667.17","652.44","","-3.42%"
"2024-09-27","675.75","665.21","676.75","665.21","","2.13%"
"2024-09-26","661.65","656.39","661.65","655.16","","0.92%"
"2024-09-25","655.65","661.08","662.27","655.07","","-0.83%"
"2024-09-24","661.17","670.92","670.92","661.17","","-0.74%"
"2024-09-20","666.08","668.62","670.26","663.60","","0.61%"
"2024-09-19","662.06","648.11","665.12","648.11","","3.42%"
"2024-09-18","640.19","644.77","648.95","634.68","","0.20%"
"2024-09-17","638.89","646.34","648.53","631.95","","-0.87%"
"2024-09-13","644.48","652.26","653.04","644.00","","-1.35%"
"2024-09-12","653.27","641.82","653.27","640.98","","3.34%"
"2024-09-11","632.14","651.93","654.62","624.27","","-2.87%"
"2024-09-10","650.82","648.54","654.03","643.69","","0.87%"
"2024-09-09","645.21","631.06","648.11","625.26","","0.21%"
"2024-09-06","643.88","658.26","659.33","640.08","","-1.93%"
"2024-09-05","656.58","646.18","665.88","646.18","","0.74%"
"2024-09-04","651.78","667.74","668.82","650.69","","-4.23%"
"2024-09-03","680.57","667.62","681.13","667.09","","1.94%"
"2024-09-02","667.65","672.35","672.35","662.89","","-0.20%"
"2024-08-30","669.01","663.14","669.01","662.81","","1.14%"
"2024-08-29","661.49","658.53","667.53","657.14","","-0.47%"
"2024-08-28","664.64","677.26","677.51","661.80","","-2.30%"
"2024-08-27","680.30","669.43","680.91","666.05","","1.27%"
"2024-08-26","671.79","645.59","671.79","645.59","","4.88%"
"2024-08-23","640.52","638.99","640.52","634.41","","0.21%"
"2024-08-22","639.19","632.13","642.39","631.91","","1.34%"
"2024-08-21","630.74","629.07","636.78","629.07","","-0.64%"
"2024-08-20","634.78","621.12","634.84","620.81","","3.72%"
"2024-08-19","612.03","611.18","624.35","609.18","","0.48%"
"2024-08-16","609.11","602.15","609.65","601.24","","2.76%"
"2024-08-15","592.74","591.98","596.33","588.81","","-0.03%"
"2024-08-14","592.90","583.89","594.06","579.35","","1.89%"
"2024-08-13","581.92","565.44","582.23","565.34","","3.59%"
"2024-08-09","561.78","563.14","568.47","550.44","","0.73%"
"2024-08-08","557.73","546.60","566.66","546.60","","1.15%"
"2024-08-07","551.37","526.55","561.99","526.55","","3.29%"
"2024-08-06","533.79","495.88","540.29","495.88","","10.06%"
"2024-08-05","485.02","563.75","563.75","482.29","","-15.84%"
"2024-08-02","576.29","609.68","609.71","576.27","","-7.53%"
"2024-08-01","623.25","641.96","642.78","620.68","","-3.85%"
"2024-07-31","648.20","642.17","648.20","635.14","","0.28%"
"2024-07-30","646.37","653.57","653.84","641.10","","-1.32%"
"2024-07-29","655.02","648.45","655.30","646.87","","1.88%"
"2024-07-26","642.91","642.27","650.32","642.27","","0.37%"
"2024-07-25","640.56","639.00","645.61","638.27","","-1.18%"
"2024-07-24","648.21","659.59","663.73","648.21","","-1.92%"
"2024-07-23","660.90","662.01","668.74","658.52","","0.56%"
"2024-07-22","657.25","675.11","675.11","656.20","","-2.73%"
"2024-07-19","675.73","687.40","688.19","674.91","","-2.09%"
"2024-07-18","690.17","690.01","697.56","690.01","","-0.71%"
"2024-07-17","695.11","687.05","697.23","687.05","","2.02%"
"2024-07-16","681.33","680.51","684.40","678.71","","0.62%"
"2024-07-12","677.13","655.19","678.82","655.19","","3.24%"
"2024-07-11","655.86","655.89","657.09","648.93","0.00K","0.21%"
"2024-07-10","654.51","658.09","658.95","650.15","0.00K","-0.52%"
"2024-07-09","657.93","659.88","663.27","655.99","0.00K","-0.15%"
"2024-07-08","658.93","658.73","660.14","655.83","0.00K","0.23%"
"2024-07-05","657.45","653.86","658.17","652.83","0.00K","0.54%"
"2024-07-04","653.92","655.76","659.70","653.14","0.00K","0.14%"
"2024-07-03","653.03","648.35","653.62","648.35","0.00K","1.08%"
"2024-07-02","646.04","650.54","651.82","644.50","0.00K","-0.49%"
"2024-07-01","649.20","663.72","663.93","649.20","0.00K","-1.82%"
"2024-06-28","661.24","670.17","671.45","660.27","0.00K","-1.06%"
"2024-06-27","668.30","655.04","671.03","655.04","0.00K","2.02%"
"2024-06-26","655.08","651.18","657.86","650.30","0.00K","1.20%"
"2024-06-25","647.30","639.85","648.43","639.77","0.00K","1.34%"
"2024-06-24","638.77","638.70","642.02","637.02","0.00K","0.12%"
"2024-06-21","637.98","638.69","644.43","637.98","0.00K","-0.03%"
"2024-06-20","638.15","631.80","638.15","631.80","0.00K","1.51%"
"2024-06-19","628.68","634.70","636.72","627.54","0.00K","-0.67%"
"2024-06-18","632.90","639.93","642.50","632.90","0.00K","-0.84%"
"2024-06-17","638.23","637.87","638.72","632.30","0.00K","-0.08%"
"2024-06-14","638.73","627.61","639.76","627.61","0.00K","0.63%"
"2024-06-13","634.71","638.04","642.94","634.71","0.00K","0.01%"
"2024-06-12","634.66","631.68","636.52","631.68","0.00K","0.50%"
"2024-06-11","631.49","628.28","633.99","626.87","0.00K","0.91%"
"2024-06-10","625.78","618.65","625.84","618.39","0.00K","0.67%"
"2024-06-07","621.64","612.20","622.18","612.20","0.00K","1.49%"
"2024-06-06","612.53","626.22","626.59","612.53","0.00K","-1.71%"
"2024-06-05","623.17","629.76","632.41","622.59","0.00K","-1.29%"
"2024-06-04","631.29","616.65","633.52","616.65","0.00K","2.37%"
"2024-06-03","616.66","620.33","620.55","615.44","0.00K","-0.30%"
"2024-05-31","618.49","601.24","618.54","601.02","0.00K","2.69%"
"2024-05-30","602.27","595.96","604.57","594.16","0.00K","-0.18%"
"2024-05-29","603.35","616.99","616.99","603.35","0.00K","-2.54%"
"2024-05-28","619.06","616.03","625.07","616.03","0.00K","0.90%"
"2024-05-27","613.54","609.06","614.13","604.94","0.00K","0.89%"
"2024-05-24","608.14","607.36","613.50","605.81","0.00K","-1.19%"
"2024-05-23","615.48","627.58","627.63","614.84","0.00K","-1.47%"
"2024-05-22","624.66","631.80","632.75","624.66","0.00K","-1.38%"
"2024-05-21","633.41","644.41","646.87","633.41","0.00K","-1.41%"
"2024-05-20","642.45","632.42","648.52","632.42","0.00K","1.50%"
"2024-05-17","632.98","631.42","634.63","628.35","0.00K","-0.33%"
"2024-05-16","635.09","644.88","645.23","628.70","0.00K","-1.31%"
"2024-05-15","643.52","659.09","659.09","643.51","0.00K","-2.39%"
"2024-05-14","659.26","651.43","659.87","651.43","0.00K","1.33%"
"2024-05-13","650.60","649.49","651.79","644.70","0.00K","0.06%"
"2024-05-10","650.23","655.63","655.72","647.51","0.00K","-0.42%"
"2024-05-09","652.97","654.97","657.16","647.02","0.00K","-0.29%"
